process_1,process_2,process_3,process_4,process_5,process_6,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,0,0,0,0,1,3,1500,0.144,0.002,0.026,0.003,0.251830986,0.177538413,200
1,0,0,1,1,1,3,204879,19.689,2.663,3.612,0.301,0.8195,0.8195,1400
1,1,1,0,0,1,3,52546.68,5.525395588,0.257709133,0.720301331,0.053393368,8.821921489,6.219369455,330.46
0,0,0,1,0,1,3,2200,0.065,0.004,0.012,0,0.369352113,0.260389673,429.04
1,0,1,0,1,1,3,51219,4.922,0.666,0.903,0.057,0.2048,0.2048,800
1,1,1,0,0,0,3,51219,4.922,0.666,0.903,0.075,0.2048,0.2048,600
1,0,1,0,0,0,3,52546.68,5.525395588,0.257709133,0.720301331,0.053393368,8.821921489,6.219369455,14.66
1,0,0,1,0,0,3,2923,0.15,0.01,0.02,0.002970098,0.490734648,0.345963188,502.98
1,1,0,1,0,0,3,10050,0.53,0.07,0.14,0.01,1.687267606,1.189507368,588.4
1,1,0,0,1,1,3,150000,9,1.1,1.1,0.1,35,15.1,401
0,0,0,1,0,0,3,27000,0.89,0.09,0.252,0.027435053,2.7,1.3,11
1,0,1,1,0,0,3,75000,3.75,0.12,0.12,0.076208479,10.2,8.876920657,388.67
1,0,0,0,1,0,3,60000,2,0.1,0.1,0.01,4.507,2,20.2
0,0,0,0,0,1,3,3000,0.8,0.014713154,0.041123511,0.003048339,0.503661972,0.355076826,5.94
0,0,0,0,0,0,3,3000,0.15,0.02,0.02,0.003048339,2.871,0.355076826,8
0,0,0,0,0,0,3,9600,0.4,0.001,0.001,0.009754685,1.072,1.136245844,6
1,0,1,0,0,0,3,3670,0.1,0.017999092,0.050307762,0.003729135,0.616146479,0.434377317,99.71
0,0,0,1,0,1,3,12000,0.25,0.01,0.01,0.012193357,0.363,1.420307305,26.2
1,1,0,1,1,1,3,31730,2.47,0.12,0.27,0.032241267,7.492,7.492,725.886
0,0,0,0,0,0,3,14000,0.29,0.068661386,0.19190972,0.014225583,2.350422536,1.657025189,3
1,0,0,0,0,1,3,15000,1.53,0.07356577,0.205617557,0.015241696,2.51830986,1.775384131,760
1,0,0,0,0,0,3,36000,0.98,0.083,0.365,0.03658007,6.043943663,4.260921915,7.387
0,0,0,1,0,1,3,11000,0.4004,0.022,0.913,0.0023,0.3,0.26,14.4
0,0,0,0,0,0,3,10800,0.393,0.0216,0.0896,5.00E-04,0.13,0.12,3.5
1,1,0,0,0,1,3,92698,9.27,0.59,3.84,0.02,25,18,68.15
1,0,0,0,1,1,3,12680,1.27,0.08,0.52,0,2.128811268,1.500791386,131.01
0,0,0,0,0,0,3,12000,0.4,0.02,0.07,0.012193357,2.014647888,1.420307305,0.6
1,0,1,0,0,1,3,33600,1.13,0.07,0.2,0.034141399,2.98,3.976860454,185.39
1,0,0,1,0,0,3,16300,0.55,0.03,0.1,0.016562643,1.5,1.929250756,78.3
0,0,0,0,1,1,3,25700,2.4415,0.164,0.164,0.026114106,0.098,0.051,16.49
0,0,1,0,0,1,3,9950,0.945,0.063,0.402,0.010110325,3.582,0.04,35.61
1,0,0,1,0,0,3,36000,1.5452,0.134,0.2237,0.03658007,29,25,114.44
0,0,0,0,0,0,3,17643,1.406,0.035,0.035,0.017927283,2.962036057,2.088206815,7.01
1,1,1,0,0,0,3,71354,5.687,0.143,0.143,0.072503731,11.97943212,8.445383954,501.5
1,1,0,0,0,1,3,18059,1.439,0.036,0.036,0.018349986,3.031877184,2.137444135,70.65
0,0,1,0,0,0,3,32896,2.622,0.0658,0.658,0.033426055,0.71,0.71,44
1,1,0,1,0,0,3,94910,7.5662,0.1898,1.897,0.09643929,11.65,11.23344719,4.75
0,0,1,0,1,0,3,29316,2.337,0.0586,0.586,0.02978837,0.012,3.469810746,12.8
0,1,0,0,0,0,3,68180,5.435,0.136,1.3625,0.069278588,3.348,0.016,72.15
1,1,0,1,0,0,3,46550,3.711,0.0931,0.1781,0.047300063,0.64,5.509608754,31.32
0,0,0,0,0,0,3,15000,0.503,0.03,0.09,0.015241696,1,1.775384131,6.106
1,0,1,0,0,0,3,1800,0.06,0.004,0.011,0.001829004,0.302197183,0.213046096,37.63
1,0,0,0,0,0,3,14000,0.469,0.028,0.084,0.014225583,1,1.657025189,29.996
0,0,0,0,0,0,3,14569,1.2,0.01,0.03,0.014803751,2.445950423,1.724371427,9.9
0,0,0,0,0,1,3,1200,0.105,0.01,0.03,0.002,0.201464789,0.142030731,1.462
0,0,0,0,0,0,3,2800,0.28,0.002,0.006,0.002,0.470084507,0.331405038,0.32
1,1,0,1,1,0,3,98127,4.906,0.246,1.363,0.005,0.785,0.393,1397.76
1,1,0,1,0,0,3,90606,4.53,0.23,1.26,0.0046,0.725,0.362,1290.63
1,0,1,0,1,0,3,97965,4.898,0.246,1.36,0.005,0.784,0.392,1395.45
1,0,0,1,0,1,3,69974,3.5,0.176,0.972,0.0036,0.56,0.28,996.72
1,0,1,0,0,1,3,57257,2.863,0.144,0.795,0.0029,0.458,0.229,815.63
1,1,0,1,0,1,3,112760,5.638,0.283,1.57,0.0058,0.902,0.451,1606.19
0,0,0,1,0,1,3,46316,1.48,0.21,1.29,0.002,0.42,0.2,295
0,0,1,0,1,0,3,28723,1.436,0.072,0.399,0.0015,0.23,0.115,409.13
1,0,0,1,1,0,3,46975,2.349,0.118,0.652,0.0024,0.376,0.188,669.13
0,0,0,0,1,0,3,3200,0.32,0.015694031,0.043865079,0.003251562,0.537239437,0.378748615,11.005
0,1,0,1,0,0,3,35000,3.5,0.53,0.7,0.018,0.14,0.14,150
0,1,1,0,0,0,3,34862,3.49,0.15,0.97,0.002,0.31,0.15,239.98
1,0,1,1,0,1,3,99950,5,0.25,1.39,0.005,0.7996,0.3998,1423.72
0,0,0,1,1,1,3,96982,9.7,0.43,2.71,0.005,0.87,0.43,627.64
1,1,1,1,0,1,3,85401,8.54,0.37,6.09,0.005,4.1,0.84,12370
1,0,1,0,0,1,3,137606,6.88,0.345,1.91,0.007,1.1,0.55,1960.09
0,0,1,1,1,1,3,103176,5.16,0.46,2.88,0.0054,4.95,0.41,683.02
1,1,0,1,0,0,3,21556,1.114,0.075,0.075,0.09,4.898409214,1.623970772,65.899
0,0,1,1,1,1,3,55628,4.227,0.0464,0.1107,0.0093,2.781,0.222,302.528
0,0,0,0,1,0,3,185000,5.55,0.287,0.6,0.06,9.25,0.74,2425
0,0,0,0,0,1,3,27500,3.71,0.468,0.47,0.0028,1.375,0.11,429.33
1,0,0,0,0,0,3,13420,0.7515,0.06,0.18,0.0072,2.85,1.22,228.86
0,0,1,1,0,1,3,27500,1.89,0.11,0.33,3.7,0.005,0.003,1012.87
0,0,0,0,0,0,3,65000,3.64,0.043,0.129,0.0351,12.16,11.68,856.7
0,1,0,1,0,0,3,72000,7.2,0.82,3.06,0.039,2.219,2.219,674.68
0,0,1,0,0,0,3,30000,1.8,0.15,0.45,0.0162,5.2,5,803.89
0,1,0,0,1,0,3,21000,1.008,0.065,0.195,0.0115,1.25,1.25,806.6
1,1,1,0,0,0,3,32400,2.64,0.49,1.47,0.0175,5.015,5.003,895.85
1,1,1,0,1,1,3,80000,6.8,0.515,1.545,1.02,8.4,8.1,697.22
1,1,1,0,0,1,3,33000,2.04,0.38,1.14,0.0178,0.0016,0.0012,732.06
0,1,0,1,1,1,3,21000,4.02,0.083,0.249,0.0113,5,5,686.42
1,1,0,1,1,1,3,91852,3.564,0.184,0.91,0.028,0.4,0.4,1067.12
1,1,1,0,0,0,3,24146,0.604,0.112,0.265,0.007,1.5,1.5,197.52
0,0,0,0,1,0,3,30402,1.319,0.061,0.356,0.004,0.064,0.064,192.97
1,1,0,1,0,1,3,130809,5.075,0.03,1.296,0.039,11,0.5,1266.46
1,1,0,0,0,0,3,26609,0.665,0.053,0.224,0.008,2.4,2.4,168.46
1,1,1,0,0,0,3,124731,5.413,0.249,1.459,0.016,6.86,6.86,644.26
1,0,1,0,0,0,3,14377,0.624,0.029,0.168,0.002,7.78,7.78,138.93
1,0,0,0,1,0,3,36255,0.906,0.168,0.398,0.01,12.8,0.4,201.03
0,0,0,1,0,1,3,29000,1.259,0.058,0.339,0.004,0.068,0.068,200
0,1,1,1,1,0,3,115886,4.496,0.232,1.148,0.035,0.5,0.5,445.4
0,1,0,0,0,0,3,33386,1.118,0.067,0.083,0.01,0.4,0.4,209.92
0,1,1,0,0,1,3,38793,1.684,0.078,0.454,0.005,0.054,0.054,347.78
0,1,0,1,1,1,3,73780,2.863,0.148,0.731,0.022,0.3,0.3,583.96
0,0,1,0,1,1,3,71500,3.103,0.143,0.837,0.009,0.15,0.15,415.93
0,0,1,0,0,1,3,36507,1.223,0.073,0.281,0.009,0.1,0.1,293.93
0,1,0,1,0,1,3,44408,1.11,0.206,0.487,0.012,0.2,0.2,224.25
0,1,1,0,1,0,3,63678,2.471,0.127,0.631,0.019,0.255,0.255,242.1
1,1,0,1,0,0,3,68692,6.869,1.03,3.09,0.1734,5.17,0.64,473.409
1,0,0,1,1,0,3,15800,1.264,0.158,0.474,0,2,2,15.13
1,0,1,1,1,1,3,220000,11.2,1.12,2.618,0.136,110,7.568,522.442
